availability,location,size,society,total_sqft,bath,balcony,price
46010,New Bedford,2 BHK,Coomee ,1056,2,1,39.07
Ready To Move,Fort Dodge,4 Bedroom,Theanmp,2600,5,3,120
Ready To Move,Stowell,3 BHK,,1440,2,3,62
Ready To Move,Woodburn,3 BHK,Soiewre,1521,3,1,95
Ready To Move,Cuyahoga Falls,2 BHK,,1200,2,1,51
Ready To Move,Beetham,2 BHK,DuenaTa,1170,2,1,38
45795,South Jordan,4 BHK,Jaades ,2732,4,,204
Ready To Move,Texas,4 BHK,Brway G,3300,4,,600
Ready To Move,North Providence,3 BHK,,1310,3,1,63.25
Ready To Move,Weymouth,6 Bedroom,,1020,6,,370
45706,Beetham,3 BHK,,1800,2,2,70
Ready To Move,Beetham,4 Bedroom,Prrry M,2785,5,3,295
Ready To Move,Little Rock,2 BHK,Shncyes,1000,2,1,38
Ready To Move,Eden Prairie,2 BHK,,1100,2,2,40
Ready To Move,Petersburg,3 Bedroom,Skityer,2250,3,2,148
Ready To Move,Sisseton,2 BHK,PrntaEn,1175,2,2,73.5
Ready To Move,Elgin,3 BHK,Prityel,1180,3,2,48
Ready To Move,Lynnwood,3 BHK,GrrvaGr,1540,3,3,60
Ready To Move,Vienna,3 BHK,PeBayle,2770,4,2,290
Ready To Move,Meadville,2 BHK,,1100,2,2,48
Ready To Move,Bismarck,1 BHK,,600,1,1,15
46010,Rockford,3 BHK,She 2rk,1755,3,1,122
Ready To Move,Egton Bridge,4 Bedroom,Soitya ,2800,5,2,380
Ready To Move,Lahaina,3 BHK,,1767,3,1,103
45979,Opelika,1 RK,Bhe 2ko,510,1,0,25.25
45795,Coatesville,3 BHK,,1250,3,2,56
Ready To Move,Lowell,2 BHK,Itelaa ,660,1,1,23.1
46011,Beetham,3 BHK,,1610,3,2,81
45947,South Charleston,2 BHK,ViistLa,1151,2,2,48.77
Ready To Move,Lowell,3 BHK,KBityo ,1025,2,1,47
46010,Redmire,4 BHK,LedorSa,2100 - 2850,4,0,186
Ready To Move,Elgin,3 BHK,Prityel,1075,2,1,35
Ready To Move,California,3 BHK,Mahosya,1760,2,2,123
Ready To Move,Lynnwood,3 BHK,GrrvaGr,1693,3,3,57.39
Ready To Move,Greensboro,3 BHK,Kantsce,1925,3,,125
46012,Freeport,2 BHK,PrarePa,700,2,1,36
Ready To Move,Quincy,2 BHK,,1070,2,1,45.5
Ready To Move,Yukon,3 BHK,Dieldli,1724,3,2,125
Ready To Move,Lenexa,3 BHK,,1290,2,2,56.12
Ready To Move,Stowell,2 BHK,,1143,2,2,45
Ready To Move,Milbank,2 BHK,Gentson,1296,2,,81
46010,Glendale,3 BHK,Soini T,1254,3,2,38
Ready To Move,Methuen,1 BHK,Ceove G,600,1,0,38
Ready To Move,Redmire,1 Bedroom,,660,1,0,48
45919,Freeport,2 BHK,Soazak ,1330.74,2,2,91.79
Ready To Move,Hastings,8 Bedroom,,600,9,,200
Ready To Move,Baltimore,2 BHK,LancyRe,970,2,0,33
45920,Beetham,2 BHK,Goted U,1459,2,1,94.82
Ready To Move,Mansfield,2 Bedroom,,800,1,1,130
Ready To Move,Billings,2 BHK,,869,2,1,36
Ready To Move,Bryant,2 BHK,Bhncyis,1270,2,1,50
45734,Eagle,3 BHK,Rosha I,1670,3,1,99
Ready To Move,Beetham,3 BHK,Suent V,2010,3,2,91
Ready To Move,Eugene,2 BHK,RothaVa,1185,2,2,75
Ready To Move,Redmire,3 BHK,NCowsar,1600,2,3,75
Ready To Move,Mililani Town,2 BHK,Dhalsh ,1200,2,2,44
45708,Sulphur,4 Bedroom,BrereAt,3010 - 3410,,,192
Ready To Move,Vienna,2 BHK,PeBayle,1500,2,2,185
Ready To Move,Milbank,6 Bedroom,,1407,4,1,150
Ready To Move,Burnsville,2 BHK,,840,2,2,45
Ready To Move,Dent,3 Bedroom,,4395,3,2,240
Ready To Move,Methuen,2 BHK,Laavevi,845,2,1,55
Ready To Move,Beetham,4 Bedroom,Chranya,5700,5,3,650
Ready To Move,Buttermere,2 BHK,HioraTr,1160,2,2,44
Ready To Move,Champaign,8 Bedroom,,3000,8,0,140
Ready To Move,Baltimore,2 BHK,,1100,2,1,62
45765,Tupelo,2 BHK,BMineis,1140,2,3,43
Ready To Move,North Providence,2 BHK,,1220,2,1,57
Ready To Move,Central,8 Bedroom,,1350,7,0,85
Ready To Move,Freeport,2 BHK,,1005,2,1,36.68
Ready To Move,Ocean City,3 Bedroom,,500,3,2,100
45889,Mililani Town,2 BHK,Pruthg ,1358,2,1,80.58
Ready To Move,Cape Girardeau,3 BHK,Sonosty,1569,3,1,101
45765,Lee's Summit,2 BHK,SNnia E,1240,2,1,70
Ready To Move,Kirkwood,3 BHK,Anavi B,2089,3,2,140
Ready To Move,Elyria,2 BHK,,1206,2,1,48.23
Ready To Move,Los Lunas,2 BHK,,1150,2,3,40
Ready To Move,Prairie Village,3 BHK,Viony H,2511,3,3,205
Ready To Move,Gastonia,2 BHK,,460,1,0,22
Ready To Move,Elko,6 Bedroom,,4400,6,3,250
Ready To Move,Stanley,3 BHK,AdentEl,1660,2,2,105
45948,Kirkwood,4 Bedroom,Gollela,2957 - 3450,,,224.5
45735,Redmire,2 BHK,Niareum,1326,2,2,78
Ready To Move,Flint,3 BHK,,1325,2,2,60.8
Ready To Move,Fall River,3 BHK,SJlynro,1499,5,2,102
Ready To Move,Cape Girardeau,6 Bedroom,,3000,7,2,210
Ready To Move,Freeport,3 BHK,,1665,3,2,88
45917,Bossier City,2 BHK,Tavenew,708,2,2,37
Ready To Move,Kingston,2 BHK,Srire S,1060,2,2,58.06
Ready To Move,Texas,6 Bedroom,,710,6,3,160
Ready To Move,Lovell,2 BHK,Saenti ,1000,2,2,70
46009,Lowell,2 BHK,,1000,2,1,28.88
Ready To Move,Prattville,3 BHK,,1450,2,2,70
